Var1,Var2,Var3,Var4,Var5
0,0,0.522441468439102,0.710425328586405,0.471540840816671
0,1,0.535964736552629,0.671772662099496,0.511334813627849
0,2,0.549056995692346,0.629765267923837,0.549483505483206
0,3,0.571235405025758,0.584262811595131,0.576478168738427
0,4,0.590009896477758,0.537076218431352,0.602857742468141
0,5,0.605272893719605,0.489901616289627,0.627408264597389
0,6,0.61700573959933,0.442824863177464,0.650545969054719
0,7,0.624719947532761,0.395284238477532,0.673405789970581
0,8,0.628178213061936,0.347934276806855,0.695940997252787
0,9,0.6287422381517,0.301153090698503,0.716930968731809
0,10,0.648367540616579,0.262089022760926,0.714792890579524
0,11,0.666443802531313,0.218998091671341,0.712665765918299
0,12,0.6822998912278,0.172005439964459,0.710549778026258
0,13,0.695238290526226,0.121446483906632,0.708445107917958
0,14,0.704597716904752,0.0678896321930905,0.706351934359423
0,15,0.709828161364847,0.0121300161312077,0.704270433883219
0,16,0.710564748534817,-0.0448531111354624,0.702200780803555
0,17,0.706683059028585,-0.101973660652615,0.700143147231412
0,18,0.698320783901427,-0.158138166525984,0.698097703089687
0,19,0.685859155630265,-0.212347048042139,0.696064616128366
0,20,0.669869222653425,-0.263776569294593,0.694044051939696
0,21,0.651037423418429,-0.311827207313587,0.692036173973371
0,22,0.63008819663217,-0.356134924811723,0.690041143551722
0,23,0.607718282489398,-0.396551556132807,0.688059119884902
0,24,0.589825042748778,-0.436051587645939,0.679680389490427
0,25,0.605954510637908,-0.491270957436489,0.625677215037442
0,26,0.620022838032431,-0.550405813342212,0.559128894761583
0,27,0.6269668854906,-0.611339156256612,0.482884003178476
0,28,0.625310096532484,-0.672072018047995,0.396618816663345
0,29,0.613845036429234,-0.730084483568137,0.300284728389971
0,30,0.591770026545384,-0.782368435254378,0.19418513640362
0,31,0.558819083401896,-0.825512919603925,0.0790547379533266
1,0,0.486038598435975,0.718662001279102,0.497284032267184
1,1,0.497741800313936,0.681239004510771,0.536811437055336
1,2,0.509224714835681,0.640605756188016,0.574729897377281
1,3,0.519928378074753,0.596949814225837,0.611003601436436
1,4,0.52923237153857,0.550552580363916,0.645604331746848
